""	"logFC"	"logCPM"	"F"	"PValue"	"FDR"
"EgrG_000935400"	0.610406106561876	4.59918725321103	14.7343761699028	0.00763594966589175	0.0318363168529829
"EgrG_001012200"	1.05190874641986	4.4518060333887	14.7340341188615	0.0076363631301061	0.0318363168529829
"EgrG_000892600"	0.555397841801555	9.27249944946489	14.7262589151697	0.00764576959839889	0.0318500050459591
"EgrG_000856000"	1.09300047145428	4.19761388306514	14.722245842835	0.00765063060226488	0.0318500050459591
"EgrG_000671100"	0.513913794086896	4.26031291879297	14.7200400420182	0.00765330420663046	0.0318500050459591
"EgrG_001111900"	-0.3171390270567	6.81078996485752	14.7189194460568	0.00765466292889092	0.0318500050459591
"EgrG_000770500"	0.356798182266164	5.81588666511687	14.7040979953837	0.00767266387904629	0.0319092550734454
"EgrG_000891500"	-0.389792493187798	7.31304781909529	14.6925911606578	0.00768667764813431	0.0319518731831315
"EgrG_001093500"	-1.25226105237441	3.29301750188218	14.6766200152004	0.00770618429984522	0.0320172711067027
"EgrG_000223700"	0.373459893544849	7.64187960708309	14.67156636924	0.00771237024887617	0.0320272879057589
"EgrG_000421550"	-0.512437958178151	8.38869944740875	14.6641427871837	0.00772146900669945	0.0320493850552046
"EgrG_000135200"	0.746999556874737	3.25415547021056	14.6576578289037	0.0077294289150111	0.0320667358997331
"EgrG_001189900"	-0.439502723944879	4.7064600049042	14.6411406333325	0.00774975171836988	0.0321353341049121
"EgrG_000758900"	0.868587641704514	6.58944613542399	14.6207080502856	0.00777498958117622	0.0322068700971534
"EgrG_000878100"	0.417353641072615	7.26041739364788	14.6193675587055	0.00777664910990692	0.0322068700971534
"EgrG_000554400"	0.921571239716928	4.59556567292736	14.6174336539036	0.00777904410694024	0.0322068700971534
"EgrG_000635000"	-0.344166317251326	6.84967930487881	14.6148961563946	0.00778218808335272	0.0322068700971534
"EgrG_000349900"	-0.913295726658798	2.85284410332852	14.5990910048808	0.00780180852077882	0.0322723273965322
"EgrG_000555200"	-0.580593139691191	5.94917641691083	14.584018829479	0.00782057981977509	0.0323332279011745
"EgrG_000428200"	-1.46770643610173	1.8371612930644	14.5811549241169	0.00782415333346431	0.0323332279011745
"EgrG_000423900"	-0.620322637630039	8.86965355025456	14.5637960826523	0.00784585940594505	0.0324024014899646
"EgrG_002036100"	1.74022911165031	1.4283420079453	14.5616641053595	0.00784853077108407	0.0324024014899646
"EgrG_000750500"	-0.494184114950813	7.33312997894077	14.5421037478855	0.00787309592038124	0.0324484794224027
"EgrG_000696900"	-0.295238789873578	6.59450047498278	14.541853869814	0.00787341038833764	0.0324484794224027
"EgrG_000260400"	-0.512360310177158	6.46075506398008	14.5399910609113	0.00787575522832217	0.0324484794224027
"EgrG_000320800"	-0.482720592312197	6.29813385497347	14.5378232260557	0.00787848518344992	0.0324484794224027
"EgrG_000596500"	0.695460186404963	3.5515744137645	14.5375612808611	0.00787881513556689	0.0324484794224027
"EgrG_000852300"	0.317844477810479	7.33538741440048	14.5273374459525	0.00789170755038385	0.0324669090044544
"EgrG_000232900"	0.854278842220174	4.73441096484684	14.5255898786536	0.00789391404183297	0.0324669090044544
"EgrG_000759000"	0.541163490302461	3.8757669067281	14.524911694049	0.00789477054174792	0.0324669090044544
"EgrG_000332000"	-0.529345774359384	4.92471966572189	14.5143179335229	0.00790816563763009	0.0325024020438696
"EgrG_000596400"	-0.368287952276838	5.50716270328142	14.5106958518901	0.00791275238685245	0.0325024020438696
"EgrG_000620900"	0.303879248833466	6.34844745062311	14.5090054229855	0.00791489422709037	0.0325024020438696
"EgrG_000549500"	0.789423067191172	7.31051887782633	14.4998946118518	0.00792645115187062	0.0325025819661791
"EgrG_000605500"	-0.517404693435993	7.59922585572297	14.4975629781241	0.00792941236746686	0.0325025819661791
"EgrG_001181720"	-0.457620501636984	5.11523276639589	14.4971623674767	0.00792992129676543	0.0325025819661791
"EgrG_000836500"	0.69927020546473	8.54303321012786	14.496894024466	0.00793026221947085	0.0325025819661791
"EgrG_000595200"	-0.489697313324735	9.05314962582913	14.4930432774304	0.00793515662015684	0.0325069380808356
"EgrG_001163900"	1.35066514995785	2.7475549220432	14.4868657002679	0.00794301680316489	0.0325096630791142
"EgrG_000320200"	-0.381507830490405	5.29211358462635	14.483883416128	0.00794681505421866	0.0325096630791142
"EgrG_000449700"	0.486033005439666	4.74924214614364	14.4834890910368	0.00794731744767595	0.0325096630791142
"EgrG_000247100"	0.46121982512985	6.31072651746419	14.4781914696247	0.00795407099105038	0.0325216088135284
"EgrG_000544400"	1.04186663861227	10.8162864723752	14.4750579825857	0.00795806920108057	0.032522282804416
"EgrG_000979800"	0.531168589390965	6.5425866223445	14.4626056195459	0.00797398414652317	0.0325716328835352
"EgrG_000124200"	-0.504374297277327	5.22694676148812	14.4572922358427	0.00798078777189262	0.0325727293098252
"EgrG_001095100"	0.59800812902344	7.43777506742173	14.4547632578415	0.00798402873846035	0.0325727293098252
"EgrG_000380600"	-0.405947321163503	4.30895311009144	14.4534046884911	0.00798577050500193	0.0325727293098252
"EgrG_001157700"	0.330644843649796	6.5711510765435	14.4332713965959	0.008011641386141	0.0326625495050554
"EgrG_001047600"	0.518080366827548	8.12988259218838	14.4237992069894	0.00802385117722868	0.0326966154599463
"EgrG_000511300"	0.362759675983432	6.22517884579383	14.4140842463553	0.00803639939335165	0.0327314623048616
"EgrG_001057100"	-0.474823342613206	6.61530608698292	14.4112085249732	0.00804011874626728	0.0327314623048616
"EgrG_000230600"	-0.437126488560412	6.78200167588442	14.4045836952975	0.00804869569674924	0.032750663928643
"EgrG_000629600"	-0.666780143823091	5.55649589097459	14.3975012198792	0.00805787848933583	0.0327723111713927
"EgrG_000574500"	0.905072468822489	4.8875773554798	14.386258314044	0.00807248387281868	0.0328141732253958
"EgrG_000703400"	0.796132745300677	3.09768725451445	14.3836272603678	0.00807590684755145	0.0328141732253958
"EgrG_000527100"	0.748945270890022	4.44218696415892	14.372242058787	0.00809074095236139	0.0328587105025534
"EgrG_000198100"	-0.519792849284257	7.53972928410228	14.3604846412095	0.00810609774612647	0.0329053269273383
