gene_id	ERR337909	ERR337922	ERR337912	ERR337925	ERR337937	ERR337949
EgrG_000099000	354	314	307	260	518	530
EgrG_000099100	226	238	177	165	249	277
EgrG_000099200	557	465	216	205	391	407
EgrG_000099300	1196	1113	1047	913	1787	1859
EgrG_000099400	1374	1133	1989	1605	1487	1537
EgrG_000099500	139	107	156	125	316	320
EgrG_000099600	1	2	0	0	2	0
EgrG_000099700	2518	2105	1268	1049	1566	1683
EgrG_000099800	2359	1886	2363	2020	3320	3410
EgrG_000099900	529	437	483	397	704	639
EgrG_000100000	318	282	272	204	456	520
EgrG_000100100	1599	1257	1526	1300	1664	1644
EgrG_000100200	876	716	484	399	1007	1038
EgrG_000100400	1689	1394	1069	911	1076	1029
EgrG_000100500	225	214	212	202	359	342
EgrG_000100600	760	627	895	721	894	1026
EgrG_000100700	9	8	0	0	1	2
EgrG_000100800	39	35	16	14	17	20
EgrG_000100900	515	456	378	269	529	557
EgrG_000101000	1277	982	1297	1190	1512	1680
EgrG_000101100	855	706	596	536	716	731
EgrG_000101200	8	7	4	11	7	5
EgrG_000101300	685	608	830	747	1242	1224
EgrG_000101400	22	22	15	9	31	24
EgrG_000101500	175	132	161	143	308	334
EgrG_000101600	1397	1167	3023	2582	1729	1698
EgrG_000101700	537	465	448	373	1035	1108
EgrG_000101800	19766	17079	10404	8767	16763	17363
EgrG_000101900	681	550	568	524	1161	1168
EgrG_000102000	5814	5088	8474	7228	6201	6510
EgrG_000102100	612	558	608	443	845	873
EgrG_000102200	803	675	1021	899	1121	1216
EgrG_000102300	649	565	387	334	508	516
EgrG_000102400	216	152	220	202	278	301
EgrG_000102500	965	845	1193	1059	943	1060
EgrG_000102600	3046	2544	2077	1763	3173	3343
EgrG_000102700	3426	2971	2312	2025	3895	3944
EgrG_000102800	46	37	9	15	29	28
EgrG_000103000	30	23	21	15	27	34
EgrG_000103100	0	1	1	1	0	1
EgrG_000103300	0	0	0	0	0	0
EgrG_000103400	1	0	0	0	0	1
EgrG_000103500	0	0	0	0	1	0
EgrG_000103600	425	365	744	628	677	715
EgrG_000103700	60	58	180	143	89	94
EgrG_0001037400	1767	1605	2126	1932	1926	2068
EgrG_000103800	234	211	163	137	177	147
EgrG_000103900	122	111	86	91	166	178
EgrG_000104000	87	72	92	84	112	88
EgrG_000104100	172	167	79	63	130	132
EgrG_000104300	2770	2314	2838	2278	2865	2900
EgrG_000104400	1580	1211	966	855	1109	1117
